iter	Passed	Remaining
0	0	19
1	0	19
2	0	19
3	1	33
4	1	32
5	1	30
6	2	29
7	2	27
8	2	26
9	2	25
10	3	24
11	3	23
12	3	23
13	3	22
14	3	21
15	4	21
16	4	20
17	4	20
18	4	20
19	5	20
20	5	19
21	5	19
22	5	19
23	6	19
24	6	18
25	6	18
26	6	18
27	6	17
28	7	17
29	7	17
30	7	17
31	7	16
32	8	16
33	8	16
34	8	15
35	8	15
36	8	15
37	9	14
38	9	14
39	9	14
40	9	14
41	10	13
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	15	8
65	16	8
66	16	8
67	16	7
68	16	7
69	17	7
70	17	7
71	17	6
72	17	6
73	17	6
74	18	6
75	18	5
76	18	5
77	18	5
78	18	5
79	19	4
80	19	4
81	19	4
82	19	4
83	19	3
84	20	3
85	20	3
86	20	3
87	20	2
88	20	2
89	20	2
90	21	2
91	21	1
92	21	1
93	21	1
94	22	1
95	22	0
96	22	0
97	22	0
98	23	0
99	23	0
