iter	Passed	Remaining
0	0	281
1	0	245
2	0	236
3	0	230
4	1	225
5	1	224
6	1	225
7	1	225
8	2	222
9	2	220
10	2	218
11	2	218
12	2	216
13	3	214
14	3	214
15	3	213
16	3	212
17	3	210
18	4	210
19	4	210
20	4	210
21	4	209
22	4	208
23	5	207
24	5	206
25	5	205
26	5	204
27	5	204
28	6	203
29	6	203
30	6	203
31	6	202
32	6	203
33	7	202
34	7	202
35	7	202
36	7	202
37	7	202
38	8	203
39	8	202
40	8	202
41	8	201
42	9	201
43	9	200
44	9	200
45	9	199
46	9	199
47	10	199
48	10	199
49	10	198
50	10	198
51	10	197
52	11	197
53	11	197
54	11	197
55	11	196
56	11	196
57	12	195
58	12	195
59	12	195
60	12	194
61	12	194
62	13	194
63	13	194
64	13	194
65	13	194
66	13	194
67	14	194
68	14	193
69	14	193
70	14	192
71	14	192
72	15	192
73	15	193
74	15	192
75	15	192
76	16	192
77	16	191
78	16	191
79	16	191
80	16	190
81	17	190
82	17	188
83	17	188
84	17	188
85	17	188
86	17	188
87	18	187
88	18	187
89	18	187
90	18	187
91	18	186
92	19	186
93	19	186
94	19	185
95	19	185
96	19	185
97	20	184
98	20	184
99	20	184
100	20	183
101	20	183
102	21	183
103	21	182
104	21	182
105	21	182
106	21	182
107	21	181
108	22	181
109	22	181
110	22	180
111	22	180
112	23	181
113	23	180
114	23	180
115	23	180
116	23	179
117	23	179
118	24	178
119	24	178
120	24	178
121	24	177
122	24	177
123	25	177
124	25	176
125	25	176
126	25	175
127	25	175
128	25	175
129	26	175
130	26	174
131	26	175
132	26	175
133	27	174
134	27	174
135	27	174
136	27	174
137	27	174
138	28	173
139	28	173
140	28	173
141	28	172
142	28	172
143	28	171
144	29	171
145	29	171
146	29	171
147	29	171
148	29	170
149	30	170
150	30	170
151	30	170
152	30	169
153	30	169
154	31	169
155	31	169
156	31	169
157	31	168
158	31	168
159	32	168
160	32	167
161	32	167
162	32	167
163	32	167
164	33	167
165	33	166
166	33	166
167	33	166
168	33	166
169	33	165
170	34	165
171	34	165
172	34	165
173	34	165
174	34	164
175	35	164
176	35	164
177	35	164
178	35	163
179	35	163
180	36	163
181	36	163
182	36	162
183	36	162
184	36	162
185	37	162
186	37	162
187	37	161
188	37	161
189	37	161
190	38	161
191	38	160
192	38	160
193	38	160
194	38	160
195	39	160
196	39	160
197	39	159
198	39	159
199	39	159
200	40	159
201	40	158
202	40	158
203	40	158
204	40	158
205	41	158
206	41	158
207	41	157
208	41	157
209	41	157
210	42	157
211	42	156
212	42	156
213	42	156
214	42	156
215	43	156
216	43	155
217	43	155
218	43	155
219	43	155
220	44	155
221	44	155
222	44	154
223	44	154
224	44	154
225	44	154
226	45	153
227	45	153
228	45	153
229	45	153
230	45	153
231	46	152
232	46	152
233	46	152
234	46	152
235	46	152
236	47	151
237	47	151
238	47	151
239	47	151
240	47	150
241	48	150
242	48	150
243	48	150
244	48	150
245	49	150
246	49	150
247	49	150
248	49	150
249	49	149
250	50	149
251	50	149
252	50	149
253	50	149
254	50	148
255	51	148
256	51	148
257	51	148
258	51	148
259	51	147
260	52	147
261	52	147
262	52	147
263	52	147
264	52	146
265	53	146
266	53	146
267	53	146
268	53	145
269	53	145
270	54	145
271	54	145
272	54	145
273	54	145
274	55	145
275	55	144
276	55	144
277	55	144
278	55	144
279	56	144
280	56	143
281	56	143
282	56	143
283	56	143
284	57	143
285	57	142
286	57	142
287	57	142
288	57	142
289	57	141
290	58	141
291	58	141
292	58	141
293	58	141
294	58	140
295	59	140
296	59	140
297	59	140
298	59	140
299	59	139
300	60	139
301	60	139
302	60	139
303	60	139
304	60	138
305	61	138
306	61	138
307	61	138
308	61	138
309	61	137
310	62	137
311	62	137
312	62	137
313	62	137
314	63	137
315	63	136
316	63	136
317	63	136
318	63	136
319	63	135
320	64	135
321	64	135
322	64	135
323	64	135
324	64	134
325	65	134
326	65	134
327	65	134
328	65	133
329	65	133
330	66	133
331	66	133
332	66	133
333	66	132
334	66	132
335	67	132
336	67	132
337	67	132
338	67	131
339	67	131
340	68	131
341	68	131
342	68	131
343	68	130
344	68	130
345	69	130
346	69	130
347	69	130
348	69	129
349	69	129
350	70	129
351	70	129
352	70	129
353	70	128
354	70	128
355	71	128
356	71	128
357	71	128
358	71	127
359	71	127
360	71	127
361	72	127
362	72	127
363	72	126
364	72	126
365	72	126
366	73	126
367	73	126
368	73	125
369	73	125
370	74	125
371	74	125
372	74	125
373	74	124
374	74	124
375	74	124
376	75	124
377	75	123
378	75	123
379	75	123
380	75	123
381	76	123
382	76	122
383	76	122
384	76	122
385	76	122
386	77	122
387	77	121
388	77	121
389	77	121
390	77	121
391	78	121
392	78	120
393	78	120
394	78	120
395	78	120
396	79	120
397	79	119
398	79	119
399	79	119
400	79	119
401	80	119
402	80	118
403	80	118
404	80	118
405	80	118
406	81	118
407	81	117
408	81	117
409	81	117
410	81	117
411	82	117
412	82	116
413	82	116
414	82	116
415	82	116
416	83	116
417	83	115
418	83	115
419	83	115
420	83	115
421	84	115
422	84	114
423	84	114
424	84	114
425	84	114
426	85	114
427	85	113
428	85	113
429	85	113
430	85	113
431	85	113
432	86	112
433	86	112
434	86	112
435	86	112
436	87	112
437	87	112
438	87	112
439	87	111
440	88	111
441	88	111
442	88	111
443	88	111
444	88	110
445	89	110
446	89	110
447	89	110
448	89	110
449	89	109
450	90	109
451	90	109
452	90	109
453	90	109
454	90	108
455	91	108
456	91	108
457	91	108
458	91	108
459	91	107
460	92	107
461	92	107
462	92	107
463	92	107
464	93	107
465	93	107
466	93	107
467	94	107
468	94	107
469	94	106
470	94	106
471	95	106
472	95	106
473	95	105
474	95	105
475	95	105
476	96	105
477	96	105
478	96	104
479	96	104
480	96	104
481	97	104
482	97	104
483	97	103
484	97	103
485	97	103
486	98	103
487	98	103
488	98	102
489	98	102
490	98	102
491	99	102
492	99	102
493	99	101
494	99	101
495	99	101
496	100	101
497	100	101
498	100	100
499	100	100
500	100	100
501	101	100
502	101	100
503	101	99
504	101	99
505	101	99
506	102	99
507	102	99
508	102	98
509	102	98
510	102	98
511	103	98
512	103	98
513	103	97
514	103	97
515	104	97
516	104	97
517	104	97
518	104	96
519	104	96
520	104	96
521	105	96
522	105	96
523	105	95
524	105	95
525	105	95
526	106	95
527	106	95
528	106	94
529	106	94
530	106	94
531	107	94
532	107	94
533	107	93
534	107	93
535	107	93
536	108	93
537	108	93
538	108	92
539	108	92
540	108	92
541	109	92
542	109	92
543	109	91
544	109	91
545	110	91
546	110	91
547	110	91
548	110	90
549	110	90
550	111	90
551	111	90
552	111	90
553	111	89
554	111	89
555	111	89
556	112	89
557	112	89
558	112	88
559	112	88
560	113	88
561	113	88
562	113	88
563	113	87
564	113	87
565	113	87
566	114	87
567	114	87
568	114	86
569	114	86
570	115	86
571	115	86
572	115	86
573	115	85
574	115	85
575	116	85
576	116	85
577	116	84
578	116	84
579	116	84
580	117	84
581	117	84
582	117	83
583	117	83
584	117	83
585	118	83
586	118	83
587	118	82
588	118	82
589	118	82
590	119	82
591	119	82
592	119	81
593	119	81
594	119	81
595	119	81
596	120	81
597	120	80
598	120	80
599	120	80
600	120	80
601	121	80
602	121	80
603	122	80
604	122	79
605	122	79
606	122	79
607	122	79
608	123	79
609	123	78
610	123	78
611	123	78
612	123	78
613	124	78
614	124	77
615	124	77
616	124	77
617	124	77
618	125	77
619	125	76
620	125	76
621	125	76
622	126	76
623	126	76
624	126	75
625	126	75
626	126	75
627	127	75
628	127	75
629	127	74
630	127	74
631	127	74
632	128	74
633	128	74
634	128	73
635	128	73
636	128	73
637	128	73
638	129	72
639	129	72
640	129	72
641	129	72
642	129	72
643	130	71
644	130	71
645	130	71
646	130	71
647	130	71
648	131	70
649	131	70
650	131	70
651	131	70
652	131	70
653	132	69
654	132	69
655	132	69
656	132	69
657	132	69
658	133	68
659	133	68
660	133	68
661	133	68
662	134	68
663	134	67
664	134	67
665	134	67
666	134	67
667	135	67
668	135	66
669	135	66
670	135	66
671	135	66
672	136	66
673	136	65
674	136	65
675	136	65
676	136	65
677	137	65
678	137	64
679	137	64
680	137	64
681	137	64
682	138	64
683	138	63
684	138	63
685	138	63
686	138	63
687	139	63
688	139	62
689	139	62
690	139	62
691	139	62
692	140	62
693	140	61
694	140	61
695	140	61
696	140	61
697	141	61
698	141	60
699	141	60
700	141	60
701	142	60
702	142	60
703	142	59
704	142	59
705	142	59
706	142	59
707	143	59
708	143	58
709	143	58
710	143	58
711	143	58
712	144	58
713	144	57
714	144	57
715	144	57
716	144	57
717	145	56
718	145	56
719	145	56
720	145	56
721	145	56
722	146	55
723	146	55
724	146	55
725	146	55
726	146	55
727	147	54
728	147	54
729	147	54
730	147	54
731	147	54
732	148	53
733	148	53
734	148	53
735	148	53
736	149	53
737	149	52
738	149	52
739	149	52
740	149	52
741	150	52
742	150	51
743	150	51
744	150	51
745	150	51
746	150	51
747	151	50
748	151	50
749	151	50
750	151	50
751	151	50
752	152	49
753	152	49
754	152	49
755	152	49
756	152	49
757	153	48
758	153	48
759	153	48
760	153	48
761	153	48
762	154	47
763	154	47
764	154	47
765	154	47
766	154	47
767	154	46
768	155	46
769	155	46
770	155	46
771	155	46
772	156	45
773	156	45
774	156	45
775	156	45
776	156	45
777	157	44
778	157	44
779	157	44
780	157	44
781	157	44
782	158	43
783	158	43
784	158	43
785	158	43
786	158	43
787	159	42
788	159	42
789	159	42
790	159	42
791	159	41
792	160	41
793	160	41
794	160	41
795	160	41
796	160	40
797	161	40
798	161	40
799	161	40
800	161	40
801	161	39
802	162	39
803	162	39
804	162	39
805	162	39
806	162	38
807	163	38
808	163	38
809	163	38
810	163	38
811	163	37
812	164	37
813	164	37
814	164	37
815	164	37
816	165	36
817	165	36
818	165	36
819	165	36
820	165	36
821	166	35
822	166	35
823	166	35
824	166	35
825	166	35
826	167	34
827	167	34
828	167	34
829	167	34
830	167	34
831	168	33
832	168	33
833	168	33
834	168	33
835	168	33
836	169	32
837	169	32
838	169	32
839	169	32
840	169	32
841	170	31
842	170	31
843	170	31
844	170	31
845	170	31
846	171	30
847	171	30
848	171	30
849	171	30
850	171	30
851	171	29
852	172	29
853	172	29
854	172	29
855	172	29
856	173	28
857	173	28
858	173	28
859	173	28
860	173	28
861	174	27
862	174	27
863	174	27
864	174	27
865	175	27
866	175	26
867	175	26
868	175	26
869	175	26
870	176	26
871	176	25
872	176	25
873	176	25
874	176	25
875	177	25
876	177	24
877	177	24
878	177	24
879	177	24
880	178	24
881	178	23
882	178	23
883	178	23
884	178	23
885	179	23
886	179	22
887	180	22
888	180	22
889	180	22
890	181	22
891	181	21
892	181	21
893	181	21
894	181	21
895	182	21
896	182	20
897	182	20
898	182	20
899	182	20
900	183	20
901	183	19
902	183	19
903	183	19
904	183	19
905	183	19
906	184	18
907	184	18
908	184	18
909	184	18
910	185	18
911	185	17
912	185	17
913	185	17
914	185	17
915	186	17
916	186	16
917	186	16
918	186	16
919	186	16
920	187	16
921	187	15
922	187	15
923	187	15
924	187	15
925	188	15
926	188	14
927	188	14
928	189	14
929	189	14
930	189	14
931	190	13
932	190	13
933	190	13
934	190	13
935	190	13
936	191	12
937	191	12
938	191	12
939	191	12
940	191	12
941	192	11
942	192	11
943	192	11
944	192	11
945	192	11
946	193	10
947	193	10
948	193	10
949	193	10
950	193	9
951	194	9
952	194	9
953	194	9
954	194	9
955	194	8
956	195	8
957	195	8
958	195	8
959	195	8
960	195	7
961	196	7
962	196	7
963	196	7
964	196	7
965	196	6
966	197	6
967	197	6
968	197	6
969	197	6
970	197	5
971	198	5
972	198	5
973	198	5
974	198	5
975	198	4
976	199	4
977	199	4
978	199	4
979	199	4
980	199	3
981	200	3
982	200	3
983	200	3
984	200	3
985	200	2
986	201	2
987	201	2
988	201	2
989	201	2
990	202	1
991	202	1
992	202	1
993	202	1
994	203	1
995	203	0
996	203	0
997	204	0
998	204	0
999	204	0
